"row_id","drink","merged","glass","ingredients"
474,"Space Odyssey","Highball glass 151 proof rum 1 shot Bacardi Malibu rum 1 shot Pineapple juice 1 shot Orange juice 
 Grenadine 
","Highball glass",5
475,"Spanish chocolate","Coffee mug Milk 2 cups Chocolate 2 oz sweet Cinnamon 1/2 tsp Egg yolk 2 beaten","Coffee mug",4
476,"Spiced Peach Punch","Collins Glass Peach nectar 46 oz Orange juice 20 oz Brown sugar 1/2 cup Cinnamon 3 3-inch Cloves 1/2 tsp Lime juice 2 tblsp","Collins Glass",6
477,"Spiking coffee","Coffee mug Coffee 
","Coffee mug",1
478,"Spritz","Old-Fashioned glass Prosecco 6 cl Campari 4 cl Soda Water splash","Old-Fashioned glass",3
479,"Stinger","Cocktail glass Brandy 1 1/2 oz White Creme de Menthe 1/2 oz","Cocktail glass",2
480,"Stone Sour","Whiskey sour glass Apricot brandy 1 oz Orange juice 1 oz Sweet and sour 1 oz","Whiskey sour glass",3
481,"Strawberry Daiquiri","Cocktail glass Strawberry schnapps 1/2 oz Light rum 1 oz Lime juice 1 oz Powdered sugar 1 tsp Strawberries 1 oz","Cocktail glass",5
482,"Strawberry Lemonade","Collins Glass Lemon Juice of 1 Sugar 1 tblsp Strawberries 8-10 ripe Water 1 cup","Collins Glass",4
483,"Strawberry Margarita","Cocktail glass Strawberry schnapps 1/2 oz Tequila 1 oz Triple sec 1/2 oz Lemon juice 1 oz Strawberries 1 oz Salt 
","Cocktail glass",6
484,"Strawberry Shivers","Highball glass Strawberries 1 1/2 cup Honey 4 tsp Water 1/2 cup","Highball glass",3
485,"Sunny Holiday Punch","Punch bowl Pineapple juice 46 oz chilled Club soda 28 oz Orange juice 6 oz frozen Lemon 1 Berries 2 cups Champagne 1 bottle","Punch bowl",6
486,"Surf City Lifesaver","Highball glass Ouzo 1 part Bailey's irish cream 1 part Gin 2 parts Grand Marnier 1/2 part","Highball glass",4
487,"Swedish Coffee","Coffee Mug Coffee 1 cup Aquavit 4 cl Sugar By taste","Coffee Mug",3
488,"Sweet Bananas","Highball Glass Milk 2 cups Banana 1 Honey 1 tblsp","Highball Glass",3
489,"Sweet Sangria","Pitcher Red wine 2 bottles Sugar 1 cup Water 2 cups hot Apple 1 cup Orange wedges
 Lime wedges
 Lemon 
 Fresca 
","Pitcher",8
490,"Sweet Tooth","Highball Glass Godiva liqueur 2 shots Milk 
","Highball Glass",2
491,"Talos Coffee","Brandy snifter Grand Marnier 3 parts Coffee 1 part","Brandy snifter",2
492,"Tennesee Mud","Coffee Mug Coffee 8 oz Jack Daniels 4 oz Amaretto 4 oz Whipped cream 
","Coffee Mug",4
493,"Tequila Fizz","Collins glass Tequila 2 oz Lemon juice 1 tblsp Grenadine 3/4 oz Egg white 1 Ginger ale 
","Collins glass",5
494,"Tequila Sour","Whiskey sour glass Tequila 2 oz Lemon Juice of 1/2 Powdered sugar 1 tsp Lemon 1/2 slice Cherry 1","Whiskey sour glass",5
495,"Tequila Sunrise","Highball glass Tequila 2 measures","Highball glass",1
496,"Tequila Surprise","Shot glass Tequila full glass Tabasco sauce About 8 drops","Shot glass",2
497,"Texas Rattlesnake","Highball glass Yukon Jack 1 part Cherry brandy 1/2 part Southern Comfort 1 part Sweet and sour 1 splash","Highball glass",4
498,"Texas Sling","Wine Glass Kahlua 1/2 oz Irish cream 1/2 oz Amaretto 1/2 oz 151 proof rum 1/2 oz Bacardi Cream 1 oz","Wine Glass",5
499,"Thai Coffee","Highball glass Coffee 6 tblsp ground Coriander 1/4 tsp Cardamom 4-5 whole green","Highball glass",3
500,"Thai Iced Coffee","Highball glass Coffee black Sugar 
 Cream pods
 Cardamom 
","Highball glass",4
501,"Thai Iced Tea","Highball glass Tea 1/4 cup Thai Water 1/2 cup boiling Condensed milk 2 tsp sweetened Ice cubes
","Highball glass",4
502,"The Evil Blue Thing","Old-fashioned glass Creme de Cacao 1 1/2 oz Blue Curacao 1 oz Light rum 1/2 oz","Old-fashioned glass",3
503,"Thriller","Cocktail glass Scotch 1 1/2 oz Wine 1 oz Green Ginger Orange juice 1 oz","Cocktail glass",3
504,"Tia-Maria","Collins Glass Water 1 cup Brown sugar 3/4-1 cup Coffee 4 tsp Rum 1 cup Vanilla extract 4 tsp","Collins Glass",5
505,"Tom Collins","Collins glass Gin 2 oz Lemon juice 1 oz Sugar 1 tsp superfine Club soda 3 oz Maraschino cherry 1 Orange 1","Collins glass",6
506,"Tomato Tang","Highball glass Tomato juice 2 cups Lemon juice 1-2 tblsp Celery salt 1 dash","Highball glass",3
507,"Tommy's Margarita","Old-Fashioned glass Tequila 4.5 cl Lime Juice 1.5 cl Agave syrup 2 spoons","Old-Fashioned glass",3
508,"Turf Cocktail","Cocktail glass Dry Vermouth 1 oz Gin 1 oz Anis 1/4 tsp Bitters 2 dashes Orange peel Twist of","Cocktail glass",5
509,"Turkeyball","Shot glass Wild Turkey 1 oz Amaretto 3/4 oz Pineapple juice 1 splash","Shot glass",3
510,"Tuxedo Cocktail","Cocktail glass Dry Vermouth 1 1/2 oz Gin 1 1/2 oz Maraschino liqueur 1/4 tsp Anis 1/4 tsp Orange bitters 2 dashes Cherry 1","Cocktail glass",6
511,"Valencia Cocktail","Cocktail glass Apricot brandy 1 1/2 oz Orange juice 1 tblsp Orange bitters 2 dashes","Cocktail glass",3
512,"Vampiro","Old-Fashioned glass Tequila 6 cl Tomato Juice 3 cl Orange Juice 3 cl Lime Juice 1.5 cl Sugar Syrup 1 dash Salt 1 pinch","Old-Fashioned glass",6
513,"Van Vleet","Old-fashioned glass Light rum 3 oz Maple syrup 1 oz Lemon juice 1 oz","Old-fashioned glass",3
514,"Vermouth Cassis","Highball glass Dry Vermouth 1 1/2 oz Creme de Cassis 3/4 oz Carbonated water 
","Highball glass",3
515,"Vesper","Cocktail glass Gin 6 cl Vodka 1.5 cl Lillet Blanc 0.75 cl","Cocktail glass",3
516,"Vesuvio","Old-fashioned glass Light rum 1 oz Sweet Vermouth 1/2 oz Lemon Juice of 1/2 Powdered sugar 1 tsp Egg white 1","Old-fashioned glass",5
517,"Veteran","Old-fashioned glass Dark rum 2 oz Cherry brandy 1/2 oz","Old-fashioned glass",2
518,"Victor","Cocktail glass Gin 1 1/2 oz Sweet Vermouth 1/2 oz Brandy 1/2 oz","Cocktail glass",3
519,"Victory Collins","Collins glass Vodka 1 1/2 oz Lemon juice 3 oz Grape juice 3 oz unsweetened Powdered sugar 1 tsp Orange 1 slice","Collins glass",5
520,"Vodka And Tonic","Highball glass Vodka 2 oz Tonic water 
","Highball glass",2
521,"Vodka Fizz","White wine glass Vodka 2 oz Half-and-half 2 oz Limeade 2 oz Ice 
 Nutmeg 
","White wine glass",5
522,"Vodka Martini","Cocktail glass Vodka 1 1/2 oz Dry Vermouth 3/4 oz Olive 1","Cocktail glass",3
523,"Vodka Russian","Collins Glass Vodka 2 oz Schweppes Russchian 
","Collins Glass",2
524,"Waikiki Beachcomber","Cocktail glass Triple sec 3/4 oz Gin 3/4 oz Pineapple juice 1 tblsp","Cocktail glass",3
525,"Whiskey Sour","Old-fashioned glass Blended whiskey 2 oz Lemon Juice of 1/2 Powdered sugar 1/2 tsp Cherry 1 Lemon 1/2 slice","Old-fashioned glass",5
526,"Whisky Mac","Collins Glass Scotch 1 1/2 oz Wine 1 oz Green Ginger","Collins Glass",2
527,"White Lady","Cocktail glass Gin 4cl Triple Sec 3cl Lemon Juice 2cl","Cocktail glass",3
528,"White Russian","Old-fashioned glass Vodka 2 oz Coffee liqueur 1 oz Light cream 
","Old-fashioned glass",3
529,"Whitecap Margarita","Margarita/Coupette glass Ice 1 cup Tequila 2 oz Cream of coconut 1/4 cup Lime juice 3 tblsp fresh","Margarita/Coupette glass",4
530,"Wine Cooler","Collins Glass Red wine 2 oz white or Lemon-lime soda 5 oz Ice cubes
","Collins Glass",3
531,"Wine Punch","Collins Glass Red wine 1 bottle Lemon 2 Orange juice 1 cup Orange 3 Pineapple juice 1 cup","Collins Glass",5
532,"Yellow Bird","Cocktail glass White Rum 3 cl Galliano 1.5 cl Triple Sec 1.5 cl Lime Juice 1.5 cl","Cocktail glass",4
533,"Yoghurt Cooler","Highball Glass Yoghurt 1 cup Fruit 1 cup Ice 
","Highball Glass",3
534,"Zambeer","Collins Glass Sambuca 1 1/2 oz Root beer Add 10 oz Ice cubes
","Collins Glass",3
535,"Zenmeister","Collins Glass Jägermeister 1/2 oz Root beer 1/2 oz","Collins Glass",2
536,"Ziemes Martini Apfelsaft","Collins Glass Vermouth 4 cl Apple juice 16 cl","Collins Glass",2
537,"Zima Blaster","Hurricane glass Zima 12 oz Chambord raspberry liqueur 3 oz","Hurricane glass",2
538,"Zimadori Zinger","Collins glass Midori melon liqueur 1.5 oz Zima 12 oz","Collins glass",2
539,"Zinger","Highball glass Peachtree schnapps 4 shots Surge 4 shots","Highball glass",2
540,"Zipperhead","Whiskey sour glass Chambord raspberry liqueur 1 shot Vodka 1 shot Soda water Fill with","Whiskey sour glass",3
541,"Zippy's Revenge","Old-fashioned glass Amaretto 2 oz Rum 2 oz Kool-Aid 4 oz Grape","Old-fashioned glass",3
542,"Zizi Coin-coin","Margarita/Coupette glass Cointreau 5 cl Lemon juice 2 cl Ice cubes
 Lemon or lime
","Margarita/Coupette glass",4
543,"Zoksel","Beer pilsner Beer 
 Root beer 
 Lemonade 
 Coca-Cola slice
 7-Up 
 Creme de Cassis 
 Lemon 
","Beer pilsner",7
544,"Zorbatini","Cocktail glass Vodka 1 1/4 oz Stoli Ouzo 1/4 oz","Cocktail glass",2
545,"Zorro","Coffee Mug Sambuca 2 cl Bailey's irish cream 2 cl White Creme de Menthe 2 cl","Coffee Mug",3
